Unnamed: 0,Понедельник  2 мая,Вторник  3 мая,Среда  4 мая,Четверг  5 мая,Пятница  6 мая,Суббота  7 мая,Вторник,Среда,Четверг,Пятница,Понедельник
8 пара  20:00 — 21:30,,,,,,,Практическое занятие  ПТЭ железных дорог  Лысенко Н.Н.  Аудитория 7806,"Практическое занятие  Организация, планирование и управление техническим обслуживанием железнодорожного пути  Лысенко Н.Н.  Аудитория 7806",,,Лабораторная работа  Реконструкция и усиление железнодорожной инфраструктуры  Миронов В.С.  Аудитория 7412
7 пара  18:20 — 19:50,Лекция  Локомотивы. Общий курс  Белов В.А.  Аудитория 2322,Лекция  Философия и основы критического мышления  Комиссаров И.И.  Аудитория 2322,Практическое занятие  Иностранный язык  Щербак С.Ф.  Аудитория 2404,Лекция; Практическое занятие  Техники публичного выступления  Скворцов К.В.  Аудитория 2305  ВПЛ-111 ВУП-111 ВУП-113,,,,,,,
8 пара  20:00 — 21:30,Лабораторная работа  Локомотивы. Общий курс  Белов В.А.  Аудитория 4116-1,Практическое занятие  Философия и основы критического мышления  Комиссаров И.И.  Аудитория 2406,Практическое занятие  Математика  Чичков С.Н.  Аудитория 2406,Практическое занятие  Начертательная геометрия и компьютерная графика  Гвоздев А.Д. Ковин Д.В.  Аудитория 2424,,,,,,,
7 пара  18:20 — 19:50,Практическое занятие  Проектная деятельность  Москвитин Г.И. Ярковская Т.В.  Аудитория 2315,Практическое занятие  Методы принятия кадровых решений  Чихирин О.В.  Аудитория 2305,Практическое занятие  Методы принятия кадровых решений  Чихирин О.В.  Аудитория 2305,Лекция; Практическое занятие  Техники публичного выступления  Скворцов К.В.  Аудитория 2305  ВПЛ-111 ВУП-111 ВУП-113,,,,,,,
8 пара  20:00 — 21:30,Практическое занятие  Россия в глобальной истории  Кочетков Е.Е.  Аудитория 2305,Практическое занятие  Математика  Чичков С.Н.  Аудитория 2301,Практическое занятие  Иностранный язык  Волков Ю.А. Щербак С.Ф.  Аудитория 2305 Аудитория 2423,Лекция  Тайм-менеджмент и личная эффективность  Чунихина И.А.  Аудитория 2305  ВУП-111 ВУП-113,,,,,,,
7 пара  18:20 — 19:50,Практическое занятие  Методы принятия кадровых решений  Чихирин О.В.  Аудитория 2321,Практическое занятие  Математика  Чичков С.Н.  Аудитория 2301,Практическое занятие  Иностранный язык  Волков Ю.А.  Аудитория 2321,Лекция; Практическое занятие  Техники публичного выступления  Скворцов К.В.  Аудитория 2305  ВПЛ-111 ВУП-111 ВУП-113,,,,,,,
8 пара  20:00 — 21:30,Практическое занятие  Проектная деятельность  Москвитин Г.И. Ярковская Т.В.  Аудитория 2315,Практическое занятие  Методы принятия кадровых решений  Чихирин О.В.  Аудитория 2321,,Лекция  Тайм-менеджмент и личная эффективность  Чунихина И.А.  Аудитория 2305  ВУП-111 ВУП-113,,,,,,,
1 пара  08:00 — 09:30,,Практическое занятие  Управление конфликтами  Зубков С.А.  Аудитория 2304,,Практическое занятие  История транспорта  Новожилов А.М.  Аудитория 2404,Практическое занятие  Химическая безопасность  Ануфриева С.М. Асманкин Е.Г.  Аудитория 5106 Аудитория 5107,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Физическая культура и спорт,Практическое занятие  Экология (общая)  Гаранина Т.В.  Аудитория 5305,Практическое занятие  Физика  Пауткина А.В.  Аудитория 2305,Практическое занятие  Математика  Булатникова М.Е.  Аудитория 2423,Лекция  Философия и основы критического мышления  Пархоменко Р.Н.  Аудитория 2201,,,,,,
3 пара  11:20 — 12:50,Лекция  Экология (общая)  Гаранина Т.В.  Аудитория 5303,"Лекция; Лекция, Лекция  Математика  Булатникова М.Е.  Аудитория 2301  ТБЖ-111 ТСС-111","Лекция; Лекция, Лекция  Философия и основы критического мышления  Пархоменко Р.Н.  Аудитория 2423  ТБЖ-111 ТСС-111 ТУУ-111",Лекция  Физика  Пауткина А.В.  Аудитория 14209  ТБЖ-111 ТСС-111,Практическое занятие  Проектная деятельность  Нарусова Е.Ю. Стручалин В.Г.  Аудитория 2406,,,,,,
4 пара  13:20 — 14:50,Лабораторная работа  Химическая безопасность  Пашинин В.А.  Аудитория 5203,Практическое занятие  Иностранный язык  Мирзабекова А.А. Сидельникова Е.М.  Аудитория 3510 Аудитория 4327,Практическое занятие  Иностранный язык  Борисенко Я.А. Мирзабекова А.А.  Аудитория 2305 Аудитория 4319,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 4330,Практическое занятие  Проектная деятельность  Нарусова Е.Ю. Стручалин В.Г.  Аудитория 2406,,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Иностранный язык  Борисенко Я.А.  Аудитория 4319,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 4327,Лабораторная работа  Физика  Аудитория 14206 Аудитория 14207,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 4330,,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Проектная деятельность  Беспалько С.В.  Аудитория 2422,Лабораторная работа  Электротехника и электроника  Семенова Д.В.  Аудитория 4427  ТИУ-111 п/гр.1,,Практическое занятие  Иностранный язык  Федоткина Е.В.  Аудитория 4327,Лекция  Математика  Меренкова Т.В.  Аудитория 2301  ТИУ-111 ТМС-111,,,,,,
2 пара  09:40 — 11:10,Лекция  Компьютерная графика  Болотина А.Б.  Аудитория 2321,Лекция  Физика  Портнов В.И.  Аудитория 2304,Лекция  Электротехника и электроника  Семенова Е.Ю.  Аудитория 2320  ТИУ-111 ТМР-211 ТМР-212 ТТП-211,Лекция  Философия и основы критического мышления  Миловац Ж.В.  Аудитория 2208  ТИУ-111 ТМС-111,Практическое занятие  Электротехника и электроника  Семенова Д.В.  Аудитория 4426,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Иностранный язык  Лашина Л.А.  Аудитория 2404  ТИУ-111 п/гр.2,Практическое занятие  Физика  Портнов В.И.  Аудитория 2405,Практическое занятие  Компьютерная графика  Болотина А.Б.  Аудитория 2424,Практическое занятие  Математика  Меренкова Т.В.  Аудитория 2405,Лабораторная работа  Компьютерная графика  Бичева Т.А. Болотина А.Б.  Аудитория 2424,,,,,,
4 пара  13:20 — 14:50,,Практическое занятие  Управление конфликтами  Зубков С.А.  Аудитория 2304,Практическое занятие  Физическая культура и спорт  Постол О.Л.,Практическое занятие  Философия и основы критического мышления  Миловац Ж.В.  Аудитория 2320,Лабораторная работа  Физика  Аудитория 14206 Аудитория 14207,,,,,,
5 пара  15:00 — 16:30,,,,Практическое занятие  Иностранный язык  Лашина Л.А.  Аудитория 2405  ТИУ-111 п/гр.1,,,,,,,
7 пара  18:20 — 19:50,Лабораторная работа  Стратегии управления организациями  Гуреев П.М.  Аудитория 2422,Лекция  Управление качеством  Беспалько С.В.  Аудитория 2214,Лекция  История и философия нововведений  Тарасова В.Н.  Аудитория 2214,,,,,,,,
8 пара  20:00 — 21:30,Практическое занятие  Стратегии управления организациями  Гуреев П.М.  Аудитория 2422,Лабораторная работа  Управление качеством  Беспалько С.В.  Аудитория 2214,Практическое занятие  Современные проблемы инноватики  Ляпина С.Ю.  Аудитория 2213,,,,,,,,
1 пара  08:00 — 09:30,,,Лекция  Физическая культура и спорт  Греков Ю.А.  ТКИ-111 ТСТ-111 ТСТ-112,,,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Иностранный язык  Капустин И.В.  Аудитория 4319,Лекция  Физика  Стоюхин С.Г.  Аудитория 4312  ТКИ-111 ТКИ-112,Лекция  Математика  Платонова О.А.  Аудитория 2301,,Лекция  Геометрия  Ряднов А.В.  Аудитория 2304,,,,,,
3 пара  11:20 — 12:50,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Скворцов К.В. Чунихина И.А.  Аудитория 2305  ТКИ-111 ТКИ-112 ТУП-111,Практическое занятие  Физика  Стоюхин С.Г.  Аудитория 4513,Практическое занятие  Математика  Платонова О.А.  Аудитория 2304,,Практическое занятие  Геометрия  Ряднов А.В.  Аудитория 2304,,,,,,
4 пара  13:20 — 14:50,Лекция  Алгебра  Ряднов А.В.  Аудитория 4312,Практическое занятие  Иностранный язык  Лямина И.М. Сидельникова Е.М.  Аудитория 4327 Аудитория 4328,Практическое занятие  Россия в глобальной истории  Несоленая А.К.  Аудитория 4511,Практическое занятие  Иностранный язык  Агальцова Д.В.  Аудитория 4312,Практическое занятие  Проектная деятельность  Алексеев В.М.  Аудитория 4325,,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Алгебра  Ряднов А.В.  Аудитория 4312,Практическое занятие  Иностранный язык  Лямина И.М. Сидельникова Е.М.  Аудитория 4327 Аудитория 4328,,Практическое занятие  Проектная деятельность  Алексеев В.М.  Аудитория 4325,,,,,,,
6 пара  16:40 — 18:10,,,,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Скворцов К.В. Чунихина И.А.  Аудитория 4312,,,,,,,
1 пара  08:00 — 09:30,,,Практическое занятие  Физическая культура и спорт,,,,,,,,
2 пара  09:40 — 11:10,,Лекция  Физика  Стоюхин С.Г.  Аудитория 4312  ТКИ-111 ТКИ-112,Лекция  Математика  Платонова О.А.  Аудитория 2301,,Лекция  Геометрия  Ряднов А.В.  Аудитория 2304,,,,,,
3 пара  11:20 — 12:50,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Скворцов К.В. Чунихина И.А.  Аудитория 2305  ТКИ-111 ТКИ-112 ТУП-111,Практическое занятие  Алгебра  Ряднов А.В.  Аудитория 4312,Практическое занятие  Россия в глобальной истории  Несоленая А.К.  Аудитория 4511,Практическое занятие  Иностранный язык  Шашкарова М.В.  Аудитория 4516,Практическое занятие  Физика  Стоюхин С.Г.  Аудитория 4312,,,,,,
4 пара  13:20 — 14:50,Лекция  Алгебра  Ряднов А.В.  Аудитория 4312,Практическое занятие  Математика  Корниенко Н.А.  Аудитория 4518,Практическое занятие  Иностранный язык  Кудрявцева Е.В.  Аудитория 4330,Практическое занятие  Иностранный язык  Шашкарова М.В.  Аудитория 2205,Практическое занятие  Геометрия  Ряднов А.В.  Аудитория 2404,,,,,,
5 пара  15:00 — 16:30,,,,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Скворцов К.В. Чунихина И.А.  Аудитория 4312,Практическое занятие  Проектная деятельность  Алексеев В.М.  Аудитория 4325,,,,,,
6 пара  16:40 — 18:10,,,,Практическое занятие  Проектная деятельность  Алексеев В.М.  Аудитория 4325,,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Основы технического регулирования в сфере транспорта  Кузнецов М.В.  Аудитория 2306,,Практическое занятие  Управление конфликтами  Зубков С.А.  Аудитория 2304,Лекция  Инженерная компьютерная графика  Куколева И.Ф.  Аудитория 2304,Лекция  Математика  Меренкова Т.В.  Аудитория 2301  ТИУ-111 ТМС-111,,,,,,
2 пара  09:40 — 11:10,Лекция  Основы технического регулирования в сфере транспорта  Кузнецов М.В.  Аудитория 2208,Практическое занятие  Иностранный язык  Астафьева М.А.  Аудитория 2208,Лекция  Физика  Захарова Т.В.  Аудитория 14209  ТМС-111 ТТП-111 ТЦТ-111,Лекция  Философия и основы критического мышления  Миловац Ж.В.  Аудитория 2208  ТИУ-111 ТМС-111,Практическое занятие  Математика  Меренкова Т.В.  Аудитория 2301,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Физическая культура и спорт,Практическое занятие  Проектная деятельность  Ковин Д.В.  Аудитория 2306,Практическое занятие  Инженерная компьютерная графика  Бичева Т.А. Куколева И.Ф.  Аудитория 2306,Практическое занятие  Философия и основы критического мышления  Миловац Ж.В.  Аудитория 2404,Практическое занятие  Иностранный язык  Гасанова Ф.Р.  Аудитория 2405,,,,,,
4 пара  13:20 — 14:50,,Лекция  Основы технического регулирования в сфере транспорта  Кузнецов М.В.  Аудитория 2320,Практическое занятие  Физика  Захарова Т.В.  Аудитория 2425,Практическое занятие  Проектная деятельность  Ковин Д.В.  Аудитория 2306,Практическое занятие  Иностранный язык  Гасанова Ф.Р.  Аудитория 2405,,,,,,
1 пара  08:00 — 09:30,,Практическое занятие  Иностранный язык  Исаева С.М.  Аудитория 4319  ТНД-111 п/гр.2,,,,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Физика  Антипенко В.С.  Аудитория 2107,Практическое занятие  Проектная деятельность  Григорьев П.А. Неклюдов А.Н.  Аудитория 4331,Практическое занятие  Управление конфликтами  Зубков С.А.  Аудитория 4511,Практическое занятие  История транспорта  Троненкова О.М.  Аудитория 2405,Практическое занятие  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2107,,,,,,
3 пара  11:20 — 12:50,Лекция  Теоретическая механика  Баган О.Р.  Аудитория 2107,Практическое занятие  Инженерная графика  Ларина С.В. Тарасова А.И.  Аудитория 2414,Лекция  Физика  Антипенко В.С.  Аудитория 14209,Практическое занятие  Инженерная графика  Ларина С.В. Тарасова А.И.  Аудитория 2414,Практическое занятие  Математика  Гиоргадзе М.Г.  Аудитория 2305,,,,,,
4 пара  13:20 — 14:50,Лекция  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2305,Практическое занятие  Иностранный язык  Лямина И.М.  Аудитория 4328,Практическое занятие  Теоретическая механика  Баган О.Р.  Аудитория 2403,Практическое занятие  Иностранный язык  Гусева Р.Г. Исаева С.М.  Аудитория 2201 Аудитория 4330  ТНД-111 п/гр.1,Лекция  Математика  Гиоргадзе М.Г.  Аудитория 2305,,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Физическая культура и спорт,Практическое занятие  Иностранный язык  Лямина И.М.  Аудитория 4328,Лекция  Теоретическая механика  Баган О.Р.  Аудитория 2403,Практическое занятие  Иностранный язык  Гусева Р.Г. Исаева С.М.  Аудитория 2201 Аудитория 4330  ТНД-111 п/гр.1,Лекция  Инженерная графика  Тарасова А.И.  Аудитория 2414,,,,,,
7 пара  18:20 — 19:50,Практическое занятие  Иностранный язык  Овчинникова Н.Д. Сидельникова Е.М.  Аудитория 2305 Аудитория 4319,Лекция  Техническая диагностика наземных транспортно-технологических комплексов  Гринчар Н.Г.  Аудитория 4335,Практическое занятие  Техническая диагностика наземных транспортно-технологических комплексов  Гринчар Н.Г.  Аудитория 4335,Лекция  Конструирование и расчет наземных транспортно-технологических комплексов  Аудитория 4335,,,,,,,
8 пара  20:00 — 21:30,Практическое занятие  Конструирование и расчет наземных транспортно-технологических комплексов  Аудитория 4335,Практическое занятие  Техническая диагностика наземных транспортно-технологических комплексов  Гринчар Н.Г.  Аудитория 4335,Практическое занятие  Теория надежности наземных транспортно-технологических комплексов  Гринчар Н.Г.  Аудитория 4335,Лекция  Конструирование и расчет наземных транспортно-технологических комплексов  Аудитория 4335,,,,,,,
7 пара  18:20 — 19:50,"Лекция, Лекция  Комплексная автоматизация технологических процессов ремонта и сервисного обслуживания транспортно...  Кульков А.А.  Аудитория 2107","Лекция, Лекция  Новые конструкционные материалы  Омаров А.Ю.  Аудитория 2326","Практическое занятие, Практическое занятие  Комплексная автоматизация технологических процессов ремонта и сервисного обслуживания транспортно...  Кульков А.А.  Аудитория 2102","Лекция, Лекция  Технологическое обеспечение качества ремонта и сервисного обслуживания транспортно-технологически...  Корытов А.Ю.  Аудитория 2102",,,,,,,
8 пара  20:00 — 21:30,"Практическое занятие, Лекция  Технология бережливого производства, ремонта и сервисного обслуживания транспортно-технологически...  Кульков А.А.  Аудитория 2107","Практическое занятие, Практическое занятие  Новые конструкционные материалы  Омаров А.Ю.  Аудитория 2326","Практическое занятие, Практическое занятие  Комплексная автоматизация технологических процессов ремонта и сервисного обслуживания транспортно...  Кульков А.А.  Аудитория 2102",,,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Физическая культура и спорт,,,Практическое занятие  Физика  Стоюхин С.Г.  Аудитория 2107,,,,,,,
2 пара  09:40 — 11:10,Лабораторная работа  Информатика  Беспалько С.В. Богачев В.И.  Аудитория 2503,Практическое занятие  Проектная деятельность  Козлов М.В. Маловичко В.В.  Аудитория 2513,,Практическое занятие  Математика  Корниенко Н.А.  Аудитория 2304,Лекция  Физика  Стоюхин С.Г.  Аудитория 2321  ТПВг-111 ТПВп-111 ТПР-111,,,,,,
3 пара  11:20 — 12:50,Лекция  Грузовые вагоны и контейнеры (общий курс)  Козлов М.П.  Аудитория 3006,Практическое занятие  Проектная деятельность  Козлов М.В. Маловичко В.В.  Аудитория 2513,Лекция  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2106  ТПВг-111 ТПВп-111 ТПР-111,Лекция  Математика  Корниенко Н.А.  Аудитория 2321  ТПВг-111 ТПВп-111 ТПР-111,Лекция  Информатика  Богачев В.И.  Аудитория 2320  ТПВг-111 ТПВп-111 ТПР-111,,,,,,
4 пара  13:20 — 14:50,Лабораторная работа  Физика  Аудитория 14103,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 4327,Практическое занятие  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2107,Практическое занятие  Начертательная геометрия и компьютерная графика  Аверин В.Н. Гвоздев А.Д.  Аудитория 2424,Практическое занятие  Иностранный язык  Добрякова М.В.  Аудитория 2107,,,,,,
5 пара  15:00 — 16:30,,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 4327,Лабораторная работа  Грузовые вагоны и контейнеры (общий курс)  Козлов М.П. Курыкина Т.Г.  Аудитория 3006,Практическое занятие  Управление конфликтами  Зубков С.А.  Аудитория 2208,,,,,,,
1 пара  08:00 — 09:30,,,Практическое занятие  Русский язык как иностранный  Шаркова В.В.,,,,,,,,
2 пара  09:40 — 11:10,Лекция  Пассажирские вагоны (общий курс)  Козлов М.П.  Аудитория 4518,Практическое занятие  Проектная деятельность  Сергеев И.К.  Аудитория 3006,Практическое занятие  Русский язык как иностранный  Шаркова В.В.,Практическое занятие  Физика  Стоюхин С.Г.  Аудитория 2107,Лекция  Физика  Стоюхин С.Г.  Аудитория 2321  ТПВг-111 ТПВп-111 ТПР-111,,,,,,
3 пара  11:20 — 12:50,Лабораторная работа  Информатика  Беспалько С.В. Богачев В.И.  Аудитория 2503,Практическое занятие  Проектная деятельность  Сергеев И.К.  Аудитория 3006,Лекция  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2106  ТПВг-111 ТПВп-111 ТПР-111,Лекция  Математика  Корниенко Н.А.  Аудитория 2321  ТПВг-111 ТПВп-111 ТПР-111,Лекция  Информатика  Богачев В.И.  Аудитория 2320  ТПВг-111 ТПВп-111 ТПР-111,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Физическая культура и спорт,Практическое занятие  Иностранный язык  Борисенко Я.А. Исаева С.М.  Аудитория 2404 Аудитория 4330  ТПВп-111 п/гр.2,Лабораторная работа  Пассажирские вагоны (общий курс)  Козлов М.П. Курыкина Т.Г.  Аудитория 3006,Практическое занятие  Математика  Корниенко Н.А.  Аудитория 2301,Практическое занятие  Иностранный язык  Исаева С.М.  Аудитория 2425  ТПВп-111 п/гр.1,,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Русский язык как иностранный  Шаркова В.В.,Практическое занятие  Иностранный язык  Борисенко Я.А. Исаева С.М.  Аудитория 4319 Аудитория 4330  ТПВп-111 п/гр.2,Практическое занятие  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2107,Практическое занятие  Начертательная геометрия и компьютерная графика  Аверин В.Н. Гвоздев А.Д.  Аудитория 2424,Практическое занятие  Иностранный язык  Исаева С.М.  Аудитория 2425  ТПВп-111 п/гр.1,,,,,,
6 пара  16:40 — 18:10,Практическое занятие  Русский язык как иностранный  Шаркова В.В.,,,Практическое занятие  Управление конфликтами  Зубков С.А.  Аудитория 2208,,,,,,,
2 пара  09:40 — 11:10,Лекция  Информатика  Зайцева Н.А.  Аудитория 2305,,Практическое занятие  Физика  Антипенко В.С.  Аудитория 2201,Лабораторная работа  Физика  Аудитория 14103,Практическое занятие  Начертательная геометрия и компьютерная графика  Муравьев С.Н. Чванова Н.А.  Аудитория 2418,,,,,,
3 пара  11:20 — 12:50,Лабораторная работа  Информатика  Горелова М.В. Мишин А.В.  Аудитория 4223,Практическое занятие  Иностранный язык  Борисенко Я.А. Кашевская А.М.  Аудитория 2107 Аудитория 2403,Лекция  Физика  Антипенко В.С.  Аудитория 14209,Лабораторная работа  Локомотивы. Общий курс  Вахромеева Т.О. Лобанов И.И.  Аудитория 4116-6,Практическое занятие  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2107,,,,,,
4 пара  13:20 — 14:50,Лекция  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2305,Практическое занятие  Проектная деятельность  Вахромеева Т.О.  Аудитория 4218,Лекция  Локомотивы. Общий курс  Какоткин В.З.  Аудитория 2208,Практическое занятие  Математика  Гиоргадзе М.Г.  Аудитория 2406,Лекция  Математика  Гиоргадзе М.Г.  Аудитория 2305,,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Физическая культура и спорт,Практическое занятие  Проектная деятельность  Вахромеева Т.О.  Аудитория 4218,Практическое занятие  Управление конфликтами  Литвинова М.В.  Аудитория 4511,,,,,,,,
1 пара  08:00 — 09:30,,,Практическое занятие  Иностранный язык  Глаголев А.Б. Кузнецова Л.В.  Аудитория 2405 Аудитория 2425,,Практическое занятие  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2107,,,,,,
2 пара  09:40 — 11:10,Лекция  Информатика  Зайцева Н.А.  Аудитория 2305,Практическое занятие  Физика  Антипенко В.С.  Аудитория 2405,Практическое занятие  Иностранный язык  Глаголев А.Б. Кузнецова Л.В.  Аудитория 2405 Аудитория 2425,Практическое занятие  Локомотивы. Общий курс  Лобанов И.И.  Аудитория 4116-2,Практическое занятие  Проектная деятельность  Вахромеева Т.О.  Аудитория 4218,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Начертательная геометрия и компьютерная графика  Болотина А.Б. Чванова Н.А.  Аудитория 2418,Лабораторная работа  Информатика  Горелова М.В. Мишин А.В.  Аудитория 4223,Лекция  Физика  Антипенко В.С.  Аудитория 14209,Практическое занятие  История транспорта  Троненкова О.М.  Аудитория 2107,Практическое занятие  Проектная деятельность  Вахромеева Т.О.  Аудитория 4218,,,,,,
4 пара  13:20 — 14:50,Лекция  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2305,Практическое занятие  Иностранный язык  Лямина И.М. Сидельникова Е.М.  Аудитория 4327 Аудитория 4328,Лекция  Локомотивы. Общий курс  Какоткин В.З.  Аудитория 2208,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 4330,Лекция  Математика  Гиоргадзе М.Г.  Аудитория 2305,,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Физическая культура и спорт,Практическое занятие  Иностранный язык  Лямина И.М. Сидельникова Е.М.  Аудитория 4327 Аудитория 4328,Практическое занятие  Математика  Гиоргадзе М.Г.  Аудитория 2301,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 4330,Практическое занятие  Управление конфликтами  Литвинова М.В.  Аудитория 4511,,,,,,
1 пара  08:00 — 09:30,"Практическое занятие, Практическое занятие  Физическая культура и спорт",,"Практическое занятие, Практическое занятие  Физика  Стоюхин С.Г.  Аудитория 2107","Практическое занятие, Практическое занятие  Иностранный язык  Глаголев А.Б.  Аудитория 4319","Лабораторная работа, Лабораторная работа  Физика  Аудитория 14103",,,,,,
2 пара  09:40 — 11:10,"Практическое занятие, Практическое занятие  Проектная деятельность  Омаров А.Ю.  Аудитория 2104","Практическое занятие, Практическое занятие  Математика  Корниенко Н.А.  Аудитория 2301","Практическое занятие, Практическое занятие  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2107","Лабораторная работа, Лабораторная работа  Информатика  Сергеев И.К. Фролова Т.А.  Аудитория 2503",Лекция  Физика  Стоюхин С.Г.  Аудитория 2321  ТПВг-111 ТПВп-111 ТПР-111,,,,,,
3 пара  11:20 — 12:50,"Практическое занятие, Практическое занятие  Проектная деятельность  Омаров А.Ю.  Аудитория 2104","Практическое занятие, Практическое занятие  Начертательная геометрия и компьютерная графика  Аверин В.Н. Гвоздев А.Д.  Аудитория 2424",Лекция  Философия и основы критического мышления  Минаев Д.Н.  Аудитория 2106  ТПВг-111 ТПВп-111 ТПР-111,Лекция  Математика  Корниенко Н.А.  Аудитория 2321  ТПВг-111 ТПВп-111 ТПР-111,Лекция  Информатика  Богачев В.И.  Аудитория 2320  ТПВг-111 ТПВп-111 ТПР-111,,,,,,
4 пара  13:20 — 14:50,"Практическое занятие, Практическое занятие  История транспорта  Троненкова О.М.  Аудитория 2405","Практическое занятие, Практическое занятие  Иностранный язык  Лямина И.М. Сидельникова Е.М.  Аудитория 4327 Аудитория 4328","Практическое занятие, Практическое занятие  Подвижной состав железных дорог. Общий курс  Белов В.А.","Практическое занятие, Практическое занятие  Иностранный язык  Гусева Р.Г. Кузнецова Л.В.  Аудитория 2403 Аудитория 4330","Практическое занятие, Практическое занятие  Управление конфликтами  Ефремова А.С.  Аудитория 2208",,,,,,
5 пара  15:00 — 16:30,,"Практическое занятие, Практическое занятие  Иностранный язык  Лямина И.М. Сидельникова Е.М.  Аудитория 4327 Аудитория 4328","Лекция, Лекция  Подвижной состав железных дорог. Общий курс  Белов В.А.  Аудитория 4117","Практическое занятие, Практическое занятие  Иностранный язык  Гусева Р.Г. Кузнецова Л.В.  Аудитория 2403 Аудитория 4330",,,,,,,
1 пара  08:00 — 09:30,,Практическое занятие  Философия и основы критического мышления  Дронкина А.Г.  Аудитория 4330,Практическое занятие  Элективные курсы по физической культуре и спорту,,,,,,,,
2 пара  09:40 — 11:10,,Практическое занятие  Начертательная геометрия и компьютерная графика  Муравьев С.Н. Тарасова А.И.  Аудитория 2424,Лекция  Философия и основы критического мышления  Дронкина А.Г.  Аудитория 2106  ТПТ-111 ТПЭ-111 ТПЭ-112,Лабораторная работа  Информатика  Васильев А.П. Володин С.В.  Аудитория 4420,Лекция  Математика  Пугина Л.В.  Аудитория 2106  ТПТ-111 ТПЭ-111 ТПЭ-112,,,,,,
3 пара  11:20 — 12:50,"Практическое занятие, Практическое занятие  Иностранный язык  Глаголев А.Б. Кузнецова Л.В.  Аудитория 4511",Лабораторная работа  Высокоскоростной наземный транспорт. Общий курс  Васильев А.П. Чучин А.А.  Аудитория 4114,Практическое занятие  Физика  Мухин С.В.  Аудитория 4330,Практическое занятие  Математика  Пугина Л.В.  Аудитория 4511,Лекция  Физика  Мухин С.В.  Аудитория 14209  ТПТ-111 ТПЭ-111 ТПЭ-112,,,,,,
4 пара  13:20 — 14:50,Лекция  Информатика  Володин С.В.  Аудитория 4518  ТПТ-111 ТПЭ-111 ТПЭ-112,Практическое занятие  Иностранный язык  Глаголев А.Б. Сидельникова А.К.  Аудитория 2201 Аудитория 4327,Лабораторная работа  Физика  Аудитория 14206 Аудитория 14207,,Практическое занятие  Проектная деятельность  Вахромеева Т.О.  Аудитория 4218,,,,,,
5 пара  15:00 — 16:30,Лекция  Высокоскоростной наземный транспорт. Общий курс  Пудовиков О.Е.  Аудитория 4114,Практическое занятие  Иностранный язык  Сидельникова А.К.  Аудитория 4327,,,Практическое занятие  Проектная деятельность  Вахромеева Т.О.  Аудитория 4218,,,,,,
6 пара  16:40 — 18:10,Практическое занятие  Управление конфликтами  Ефремова А.С.  Аудитория 4511,,,,,,,,,,
1 пара  08:00 — 09:30,,Практическое занятие  Иностранный язык  Глаголев А.Б.  Аудитория 4511,Практическое занятие  Физика  Мухин С.В.  Аудитория 4513,Практическое занятие  Проектная деятельность  Вахромеева Т.О.  Аудитория 4218,,,,,,,
