№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
50,15.02.2022вторник,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Информационные технологии и системы в управлении,106,502 (I),доц. Неваров Павел Анатольевич
51,15.02.2022вторник,16.1,17.4,лекция,"ЗМЛ-1914, ЗМЛ-1913, ЗМЛ-1912, ЗМЛ-1911",,Экономическая теория,106,502 (I),доц. Комов Михаил Сергеевич
52,16.02.2022среда,11.25,12.1,консультация,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Цифровая экономика,106,516 (I),ст. преп. Танифа Дмитрий Сергеевич
53,16.02.2022среда,12.2,13.5,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Философия и основы критического мышления,106,516 (I),ст. преп. Лонский Ярослав Александрович
54,16.02.2022среда,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Философия и основы критического мышления,106,516 (I),ст. преп. Лонский Ярослав Александрович
55,16.02.2022среда,16.1,17.4,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Экономическая теория,106,502 (I),доц. Комов Михаил Сергеевич
56,16.02.2022среда,17.5,19.2,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Экономическая теория,106,502 (I),доц. Комов Михаил Сергеевич
57,17.02.2022четверг,9.0,10.3,прак. занятие,ЗМЛ-1911,,Иностранный язык (английский),24,318 (I),доц. Екимова Наталья Викторовна
58,17.02.2022четверг,10.4,12.1,прак. занятие,ЗМЛ-1911,,Иностранный язык (английский),24,318 (I),доц. Екимова Наталья Викторовна
59,17.02.2022четверг,12.2,13.5,прак. занятие,ЗМЛ-1911,,Иностранный язык (английский),24,318 (I),доц. Екимова Наталья Викторовна
